,short_name,station_id,name,capacity,lat,lon,rental_uris.ios,rental_uris.android,region_id,date
804,5359.10,66db2e3a-0aca-11e7-82f6-3863bb44ef7c,Hudson St & Reade St,55,40.71625008,-74.0091059,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
805,7354.01,50575cba-95ac-4134-9da1-3eec8253afc4,Central Park West & W 85 St,38,40.78476,-73.969862,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
806,4399.03,5f968a1b-ee60-43a0-ad25-05211e09e436,Eldert St & Bushwick Ave,22,40.68652,-73.91321,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
807,5125.03,66dc8768-0aca-11e7-82f6-3863bb44ef7c,S 5 Pl & S 5 St,43,40.710451,-73.960876,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
808,6395.01,66dd2786-0aca-11e7-82f6-3863bb44ef7c,21 St & 43 Ave,27,40.75052534,-73.94594845,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
809,5270.05,66db6889-0aca-11e7-82f6-3863bb44ef7c,Pike St & E Broadway,34,40.71406667,-73.99293911,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
810,7079.06,66dd4bf7-0aca-11e7-82f6-3863bb44ef7c,Central Park West & W 68 St,43,40.7734066,-73.97782542,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
811,3117.05,31f340f3-3201-449e-b017-a26813aa448f,46 St & 7 Ave,21,40.644743,-74.003754,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
812,5440.05,1202a491-9f76-4609-9b5c-eb7723ab5b45,57 St & Grand Ave,19,40.71921,-73.9124,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
813,5920.03,1846086463217404850,94 St & 57 Ave,25,40.73628,-73.86752,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
814,5190.07,66db9cc4-0aca-11e7-82f6-3863bb44ef7c,Madison St & Clinton St,39,40.71269042,-73.98776323,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
815,5709.03,8a560dc7-36d9-4391-bed1-8df271a36273,Calyer St & Guernsey St,20,40.72755807335852,-73.95505852997303,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
816,7920.05,7f6674c4-5568-4766-b172-0385348ae184,Amsterdam Ave & W 136 St,21,40.819746,-73.951819,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
817,8366.07,cd72b9da-b7c6-4785-92b5-0fb2130f0d7b,University Ave & Brandt Pl,23,40.848354,-73.918389,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
818,4735.03,6ca15d94-897a-4c81-ab47-366829afb7c4,Putnam Ave & Wyckoff Ave,24,40.69811,-73.90904,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
819,7265.10,66dde208-0aca-11e7-82f6-3863bb44ef7c,E 89 St & 3 Ave,39,40.7806284,-73.9521667,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
820,5175.08,66db79a3-0aca-11e7-82f6-3863bb44ef7c,Fulton St & Broadway,49,40.711066,-74.009447,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
821,5636.13,4168e5a4-c7ec-4045-bfc8-84ac5edbe845,E 1 St & Bowery,44,40.72486122254819,-73.99213135242462,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
822,7652.04,d9bc0b3e-1af8-4cb6-a082-8ef1245ef329,Lexington Ave & E 120 St,29,40.8013066,-73.9398167,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
823,4707.03,66dcca0d-0aca-11e7-82f6-3863bb44ef7c,Myrtle Ave & Marcy Ave,23,40.69539817,-73.94954908,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
824,5430.08,66db269c-0aca-11e7-82f6-3863bb44ef7c,Franklin St & W Broadway,33,40.71911552,-74.00666661,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
825,8667.01,f7e7f14f-7c39-488e-849b-92c41059eb07,Grand Concourse & E 197 St,21,40.86945,-73.89148,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
826,7338.02,66ddef96-0aca-11e7-82f6-3863bb44ef7c,2 Ave & E 96 St,45,40.7839636,-73.9471673,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
827,6840.02,1838685618105506490,98 St & 25 Ave,20,40.76454,-73.87171,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
828,8265.09,db91c9e0-d80b-4cb4-9cc2-9453ec8fbeac,Grand Concourse & E Mount Eden Ave,19,40.84301,-73.91172,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
829,3180.09,1814906873296976512,Albemarle Rd & E 21 St,21,40.64741,-73.95933,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
830,5930.02,1843486667668726558,Queens Blvd & Broadway,25,40.73672,-73.87728,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
831,3113.06,1817432233006383832,Rugby Rd & Beverley Rd,25,40.64435,-73.96591,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
832,4939.07,145bbc0d-8976-45ae-9565-158ba564d3d1,Suydam St & Knickerbocker Ave,27,40.702013,-73.923769,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
833,4374.01,324af152-33ea-48a7-8bb0-ad8b6f31571f,Picnic Point,45,40.68512559515415,-74.02535319328308,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
834,6047.03,1846085533896197012,51 Ave & Van Loon St,24,40.73832,-73.87913,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
835,6319.04,1882735457106787122,11 St & 44 Rd,27,40.749207,-73.949373,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
836,3779.02,8d2eff37-be09-4b46-a95d-abff89e16d56,3 Ave & 17 St,21,40.666168,-73.995549,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
837,3811.05,0eacb768-c7d5-4499-9182-9a1331d9280c,16 St & 4 Ave,30,40.666197,-73.992466,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
838,3272.01,80969478-8dbc-42e1-8e16-ac0132a431c2,E 8 St & Caton Ave,30,40.648055,-73.972432,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
839,5076.04,1786696564295760054,Scholes St & Lorimer St,27,40.708323,-73.948732,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
840,6165.06,1876864480506022446,Whitney Ave & Ketcham Pl,25,40.74249,-73.87809,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
841,7753.13,14f928c6-9a51-40a2-b7e6-a74e8b351dbf,Lenox Ave & W 130 St,25,40.8107922,-73.9430681,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
842,5128.04,66dc9143-0aca-11e7-82f6-3863bb44ef7c,Catherine St & Monroe St,35,40.71117444,-73.99682619,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
843,7039.03,330ee4e3-29cb-48e5-845f-a8ccf1aa2ce6,Ditmars Blvd & 43 St,27,40.771203,-73.903865,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
844,6179.07,79399e32-a6c6-4732-8ad4-9f9140a86b21,Center Blvd & 51 Ave,23,40.743366080270214,-73.95960688591003,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
845,5779.11,cc7b86cf-a2fb-4738-b967-de7b197dc930,Ave A & E 14 St,41,40.73031071000895,-73.98047178983688,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
846,6603.06,1838618090943186984,32 Ave & 77 St,23,40.75727,-73.89024,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
847,8469.05,c9cd8c29-7f0b-4979-9a0e-bec4613d2600,Audubon Ave & W 192 St,21,40.85589030603889,-73.92708241939545,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
848,3300.04,1815967674683118258,E 49 St & Church Ave,25,40.65182,-73.93135,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
849,6185.04,d837d1b0-8f80-4f6c-ae45-5dd0deec6977,33 St & 47 Ave,24,40.74283,-73.9321,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
850,6644.08,3b52be68-9123-46a9-bb45-f0d0646a5a81,9 Ave & W 39 St,36,40.756403523272496,-73.99410143494606,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
851,7855.03,65a1b09d-560d-46bf-8f5d-7f59471a587e,Adam Clayton Powell Blvd & W 138 St,23,40.81695971032464,-73.9422959089279,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
852,7436.11,66de6a0f-0aca-11e7-82f6-3863bb44ef7c,2 Ave & E 104 St,33,40.7892105,-73.94370784,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
853,5838.09,66dbcf18-0aca-11e7-82f6-3863bb44ef7c,Washington Pl & 6 Ave,76,40.73224119,-74.00026394,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
854,5176.04,9a37d8a1-990b-484c-9603-262dbd1165cc,Bleecker St & Forest Ave,19,40.7107,-73.90525,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
